text,score
baguss sekali,5
cool,5
"promonya hanya waktu tertentu saja, recommend lha klo promo murah meriah",5
aplikasi tidak jelasssss,1
Emang tokopedia gak ada dana ya buat hire customer sercice? Cape cuy komplain/ minta bantuan sama bot,1
terimakasih,5
sekarang tidak ada gratis ongkirnya.meskipun toko ada logo gratis ongkir tapi ketika CO tetap bayar ongkir.,1
wahh makasih tokped diskonnya sangat amat bermanfaat. Sering sering diskon yahh jgn lupa gratong nya hohoho.,5
mantap,5
"Lama2 kalah nih kalo produk olshop anak bangsa kek gini mulu... Coba tbah fitur menu ""baru saja di lihat"" kek punya si L ma oren... Jangan cman wishlist doang.. Feed nya terlalu kaku",2
good job,5
Baru pesan ke tokopedia lama nya minta ampun,1
"kapok ga mau beli di sini lagi,, bnyk penjual penipu,, dah gitu ngajuin komplain minta di balikin barang ga ada solusi,, beli apa yg datang apa,,, mending beli di shoppe ga pernahh mengecewakan...",1
nice banyak promo,4
terlalu banyak diskon / promo. mungkin tanoa sepengetahuan penjual. orderan saya ga ada yg di pick up !!!! proses nyq sangat lama. tingkatkan lagi koordinasinya !!! bisa tenggelam nih aplikasi klo seperti ini terus !!!,1
"pengiriman lama, maaf banget ya aku kasih bintang 3🙏🏻",3
aplikasi buruk😡😡😡😡👎👎👎👎,1
barang pesanan saya sejak 3 April ga dikirim kirim status resi tidak valid dsb ... kalau kalian pihak tokped tidak bertanggung jawab saya lanjut proses hukum !!! carecentre kalian tidak berguna,1
belanja jadi mudah dan diskon lebih babyak,5
ga tegas sama seller yg bandel dan menyepelekan pengiriman masa pesanan nunggu 1 minggu gaada kabar dan gaada respon chat minta cancel aja sulit bgt dan tetap maksa dikirim,1
"makin kesini toped makin buruk pelayanan, mode pembatalan pembelian susah di akses, banyak penjual yang tidak kooperatif di biarin. barang di proses tidak dikirim kirim,di batalin juga tidak bisa. di chat tidak di respons TOKOPEDIA mundur ke jaman jahiliyah. sudah hub CS tidak ada solusi.",1
sekarang buat posting sulit tidak langsung lolos,3
"sangat Kecewa sama toped, barang lama sekali tidak dikirim2 dan akhirnya pembelian dibatalkan sistem tapi yg dikembalikan ke DAna cuma harga barang, biaya ongkir dan jasa layanan tidak dikembalikan",4
topup e-toll BNI berhasil tetapi gagal update .... tidak ada solusi 🫠🫠🫠,3
lumayan,1
sangat bagus sekali aplikasi toko pedia nya,5
Ok,5
mantab,5
tertarik diskon& promosi nya👍,1
"parah gue gak pernah transaksi di tokopedia tau tau saldo dana saya di potong enak kalo dikit 200 ribu ,gue lihat transaksi di akun dana saya di potong pembayaran tiktok shop tokopedia",1
"Tolong dong kepada pihak staf dan jajaran serta bos nya tokped, jangan suka maké atau muterin dana pembeli, jadi modusnya kita order pembayaran TF nyatanya barang kosong dan akhirnya dana nyangkut di saldo tokped. masa sejak TF selama empat hari gak di proses² ujung²nya barang kosong. dasar mental pencuri lah Saya udah sering begitu jadi males belanja di tokped.",1
ok,5
"penarikan dana sulit jika ada produk yang tidak di proses pembeli hruse nunggu lama,blum lgi klok sudah bisa di batalkan msih suruh nunggu penarikan,padahal tokonya tidak memberi respo sama sekali",1
"Ini aplikasi makin aneh kadang sush upload foto saat kasih penilaian, makin lemot, dan sering mengalami ganguan di rumah tokopedia.. Anehhhh",1
Bismillah,5
"kerenlah pokoknya tokped. banyak diskonnya. ajukan komplain gampang. pusat bantuannya fast respon. jadi gampang laporannya ga takut uang hilang kalau ada toko mau tipu2, asal punya video unboxing aja. Semoga tokped semakin tegas sm akun2 penipu, biar ga banyak makan korban. biar belanja tambah nyaman.",5
bagus,5
"apk gak guna, iklannya maksa untuk download",1
tidak bisa hapus percakapan,1
"Barang sampai, Transaksi selesai, pembeli gak ada masalah, sekarang saldo di tahan... Tokopedia care respon lelet & gak jelas, dana di tinjau dengan alasan tidak jelas, makin ancur aja",1
"Makin ke sini makin ke sana, cs ampas. komplain barang ga sampai tidak di tindak padahal udah di kasih waktu tambahan 2 hari malah molor 3 hari bahkan ga selesai selesai juga tuh komplain di pusat resolusi. mending beli apa apa di shopee aja sih kata gw mah, komplain satset ga kek karya anak bangsa ini lemot",1
lumayan,4
mantap lah,5
dulu kalo ganti nomor hp gampang sekarang dah lama bikin gw kesel asuu,1
sangat berguna,4
"I'm very love tokopedia, hahahaha sukanya ngasih promo dadakan ih, tapi kalau tanggal kembar belum tentu di kasi promo. lebih ngutamain promo akun lama dari pada akun baru, kalau ngasih promo potongan nya ga main main ih ga pelit, walau respon saler nya agak slow tapi its okey, pengiriman nya pake j&t jadinyaa sukaa soalnya cepet, sampe akrab sama kurirnya juga. buat tokopedia tumbuh semakin baik lagi yaa! banyakin promonya lagi+gratis ongkir. tolong pertahanin j&t yaa. big love untuk tokped ku!",5
toooppp,5
masa upload jualan malah otomatis jadi draft gak bisa di selesaikan,1
respon oke,5
